ZIP CODE,PPU SCORE
0,0.07734806629834257
10001,0.04419889502762431
10002,0.26519337016574585
10003,0.12154696132596687
10004,0.10497237569060769
10005,0.1270718232044199
10006,0.09392265193370164
10007,0.0
10009,0.17679558011049723
10010,0.016574585635359074
10011,0.07182320441988954
10012,0.0055248618784530246
10013,0.011049723756906049
10014,0.05524861878453036
10016,0.149171270718232
10017,0.09944751381215466
10018,0.1712707182320442
10019,0.04972375690607733
10021,0.08287292817679559
10022,0.02209944751381221
10023,0.03314917127071826
10024,0.11602209944751385
10025,0.2817679558011049
10026,0.2596685082872928
10027,0.37569060773480667
10028,0.08839779005524862
10029,0.6187845303867403
10030,0.39226519337016574
10031,0.7348066298342542
10032,0.8342541436464088
10033,0.6850828729281768
10034,0.856353591160221
10035,0.3149171270718232
10036,0.2928176795580111
10037,0.3259668508287292
10038,0.06077348066298338
10039,0.3204419889502762
10040,0.9005524861878453
10044,0.16022099447513816
10065,0.027624309392265234
10069,0.15469613259668513
10075,0.13259668508287292
10128,0.11049723756906082
10280,0.16574585635359118
10282,0.03867403314917128
10301,0.7292817679558011
10302,0.8674033149171271
10303,0.8232044198895028
10304,0.6408839779005524
10305,0.56353591160221
10306,0.5469613259668509
10307,0.425414364640884
10308,0.569060773480663
10309,0.5138121546961326
10310,0.7679558011049724
10312,0.4861878453038674
10314,0.5911602209944751
10451,0.9668508287292817
10452,0.9779005524861879
10453,0.9613259668508287
10454,0.9171270718232044
10455,0.861878453038674
10456,0.9502762430939227
10457,0.9337016574585635
10458,0.8839779005524862
10459,0.9226519337016574
10460,0.9834254143646409
10461,0.8397790055248618
10462,0.9060773480662984
10463,0.850828729281768
10464,0.6243093922651934
10465,0.7900552486187845
10466,0.8895027624309393
10467,0.9281767955801105
10468,0.988950276243094
10469,0.8287292817679558
10470,0.8784530386740331
10471,0.35359116022099446
10472,0.9447513812154696
10473,0.9116022099447514
10474,0.9723756906077348
10475,0.9558011049723757
11001,0.39779005524861877
11004,0.34806629834254144
11040,0.3425414364640884
11101,0.27071823204419887
11102,0.5082872928176796
11103,0.5856353591160222
11104,0.4696132596685083
11105,0.419889502762431
11106,0.5414364640883977
11109,0.06629834254143652
11201,0.13812154696132595
11203,0.8453038674033149
11204,0.41436464088397795
11205,0.30386740331491713
11206,0.4419889502762431
11207,0.7955801104972375
11208,0.8729281767955801
11209,0.3867403314917127
11210,0.33149171270718236
11211,0.22651933701657456
11212,0.8950276243093923
11213,0.6132596685082873
11214,0.6629834254143646
11215,0.19889502762430944
11216,0.4475138121546961
11217,0.2099447513812155
11218,0.4033149171270718
11219,0.45856353591160226
11220,0.5027624309392265
11221,0.5359116022099448
11222,0.24861878453038677
11223,0.37016574585635365
11224,0.8176795580110497
11225,0.5193370165745856
11226,0.7513812154696132
11228,0.3646408839779005
11229,0.49723756906077343
11230,0.3812154696132597
11231,0.18232044198895025
11232,0.48066298342541436
11233,0.6519337016574586
11234,0.47513812154696133
11235,0.4530386740331491
11236,0.8121546961325967
11237,0.6464088397790055
11238,0.2154696132596685
11239,0.2375690607734806
11249,0.14364640883977897
11354,0.22099447513812154
11355,0.5524861878453038
11356,0.4640883977900553
11357,0.2320441988950276
11358,0.2541436464088398
11360,0.2762430939226519
11361,0.30939226519337015
11362,0.20441988950276246
11363,0.1933701657458563
11364,0.24309392265193375
11365,0.28729281767955805
11366,0.2983425414364641
11367,0.3591160220994475
11368,0.6906077348066298
11369,0.6022099447513812
11370,0.5303867403314917
11372,0.4917127071823204
11373,0.6298342541436464
11374,0.3370165745856354
11375,0.18784530386740328
11377,0.574585635359116
11378,0.5580110497237569
11379,0.430939226519337
11385,0.6685082872928176
11411,0.6353591160220995
11412,0.6574585635359116
11413,0.718232044198895
11414,0.5248618784530387
11415,0.8011049723756907
11416,0.7734806629834254
11417,0.6795580110497237
11418,0.7127071823204421
11419,0.7458563535911602
11420,0.6961325966850829
11421,0.6740331491712708
11422,0.7071823204419889
11423,0.7624309392265194
11426,0.43646408839779005
11427,0.4088397790055248
11428,0.5966850828729282
11429,0.7237569060773481
11430,0.994475138121547
11432,0.580110497237569
11433,0.7845303867403315
11434,0.7569060773480663
11435,0.7016574585635359
11436,0.7403314917127072
11691,0.9392265193370166
11692,0.8066298342541436
11693,0.7790055248618785
11694,0.6077348066298343
