Zipcode,Score
10001,1
10002,0.469662203660484
10003,0.713351420819649
10004,1
10005,0.324933426769446
10006,0.80664231152441
10007,1
10009,0.331126216440902
10010,0.535226487403405
10011,0.697254040483289
10012,0.801992528019925
10013,0.847595667870036
10014,0.614887825025814
10016,0.37762397800048
10017,0.710467571644042
10018,1
10019,0.834373687893632
10020,
10021,0.180495519240907
10022,0.632853025936599
10023,0.361375782812551
10024,0.28864935985021
10025,0.352050739957717
10026,0.619051260182925
10027,0.828981526454184
10028,0.251904034026716
10029,0.679804744549557
10030,0.74829438127338
10031,0.582274354158546
10032,0.466009663183967
10033,0.343255572451137
10034,0.391569857098797
10035,1
10036,1
10037,0.591639871382637
10038,0.45320197044335
10039,0.645166551147715
10040,0.293311060732609
10041,
10043,
10044,0.082051282051282
10045,
10047,
10048,
10055,
10065,0.346674930275798
10069,0.099095979996153
10075,0.170468205658283
10080,
10081,
10096,
10097,
10103,0
10104,
10105,
10106,
10107,
10110,
10111,
10112,
10115,
10118,
10119,0
10120,
10121,
10122,
10123,
10128,0.206361967148032
10151,
10152,
10153,
10154,
10155,
10158,
10162,0
10165,0
10166,
10167,
10168,
10169,
10170,0
10171,
10172,
10173,0
10174,
10175,
10176,
10177,
10178,
10196,
10203,
10259,
10260,
10265,
10270,
10271,
10275,
10278,
10279,
10280,0.14995543104546
10281,
10282,0.161572234998955
10285,
10286,
10301,0.572769858459679
10302,0.586085498742666
10303,0.483456733872499
10304,0.522437371127912
10305,0.346413087738628
10306,0.337662988069899
10307,0.34199772985244
10308,0.234060752275469
10309,0.276121651957317
10310,0.538097908821409
10312,0.203534331579657
10314,0.344287217869255
10451,0.89277010915932
10452,0.635215135794935
10453,0.529614731384643
10454,0.869314620885449
10455,0.84612630782806
10456,0.681174390793442
10457,0.811211983658647
10458,0.550898203592814
10459,0.773213832755559
10460,0.618352497775296
10461,0.459070927884044
10462,0.426834160244907
10463,0.396857437104605
10464,0.405822673136303
10465,0.442680558844423
10466,0.45475646262516
10467,0.547109004739336
10468,0.532877810335992
10469,0.333586468760787
10470,0.486078598051396
10471,0.282558240991188
10472,0.593387383586003
10473,0.595526239341069
10474,1
10475,0.338950917397572
11001,0.020533422609084
11004,0.154908675799087
11005,0.142635658914729
11040,0.019851895444069
11096,0
11101,0.931407942238267
11102,0.312659303313509
11103,0.433666838576586
11104,0.232432432432432
11105,0.227692978630615
11106,0.352144051446945
11109,0.041782571671871
11201,0.853637928336724
11203,0.471993068501063
11204,0.171909795991502
11205,0.533320120893822
11206,0.602842905591537
11207,0.711678410040049
11208,0.594057309805333
11209,0.319614250649935
11210,0.381008902077151
11211,0.396107282754641
11212,0.733822485207101
11213,0.569021594241536
11214,0.261581857158976
11215,0.295035282258064
11216,0.672774136534355
11217,0.693314010200385
11218,0.195692634937517
11219,0.194732219342666
11220,0.295957750155626
11221,0.603110463273972
11222,0.36267937401852
11223,0.309895720872337
11224,0.614350811616724
11225,0.479839518555667
11226,0.499980309534124
11228,0.201665549918637
11229,0.275478017446075
11230,0.212091473011758
11231,0.490136789056875
11232,0.47261277197948
11233,0.716209565567536
11234,0.344277949337375
11235,0.280887630794116
11236,0.425322496458131
11237,0.441782908449575
11238,0.387706548658195
11239,0.489091316359292
11251,
11354,0.437217099748533
11355,0.17399121938722
11356,0.266916972437921
11357,0.169195402298851
11358,0.189165290576892
11359,
11360,0.165642872272824
11361,0.319037964063483
11362,0.19615104078999
11363,0.14745277618775
11364,0.158680364636087
11365,0.246483006721575
11366,0.187644102867278
11367,0.237581309230882
11368,0.269478127188873
11369,0.489840735465493
11370,0.350493852045958
11371,
11372,0.332456930187886
11373,0.312810950208292
11374,0.222825688073394
11375,0.229688795774955
11377,0.257268173216075
11378,0.33453589091221
11379,0.196571034720427
11385,0.365417072379098
11411,0.327225695192929
11412,0.373464824264664
11413,0.320600328947368
11414,0.239253480189689
11415,0.201685538493356
11416,0.367097059651663
11417,0.415424448510374
11418,0.422241835834069
11419,0.318027578318612
11420,0.340172250529828
11421,0.294384951567971
11422,0.247953985209532
11423,0.314162803881682
11426,0.238499147242752
11427,0.227728563556987
11428,0.330217028380634
11429,0.340075682135033
11430,1
11432,0.436935322074035
11433,0.63609385994432
11434,0.636060139694566
11435,0.365347290778028
11436,0.457206529611678
11451,
11691,0.430921962188723
11692,0.450571736785329
11693,0.645451493789862
11694,0.301136809094473
11697,0.108261828879627
