ZIP CODE,FPU SCORE
0,0.6994219653179191
10001,0.8265895953757225
10002,0.10404624277456648
10003,0.2254335260115607
10009,0.023121387283236993
10010,0.5664739884393064
10011,0.2774566473988439
10012,0.19653179190751446
10013,0.5028901734104047
10014,0.4508670520231214
10016,0.4046242774566474
10017,0.930635838150289
10018,0.7398843930635838
10019,0.028901734104046242
10021,0.06936416184971098
10022,0.5491329479768786
10023,0.5202312138728323
10024,0.017341040462427744
10025,0.4797687861271676
10026,0.1907514450867052
10027,0.2947976878612717
10028,0.005780346820809248
10029,0.03468208092485549
10030,0.08670520231213873
10031,0.21965317919075145
10032,0.17341040462427745
10033,0.18497109826589594
10034,0.09248554913294797
10035,0.14450867052023122
10036,0.057803468208092484
10037,0.046242774566473986
10038,0.976878612716763
10039,0.11560693641618497
10040,0.05202312138728324
10065,0.9421965317919075
10069,0.8497109826589595
10075,0.1791907514450867
10128,0.08092485549132948
10301,0.7976878612716763
10302,0.5549132947976878
10303,0.5895953757225434
10304,0.8786127167630058
10305,0.7341040462427746
10306,0.815028901734104
10307,0.9826589595375722
10308,0.838150289017341
10309,0.953757225433526
10310,0.8092485549132948
10312,0.9364161849710982
10314,0.8959537572254336
10451,0.1329479768786127
10452,0.6589595375722543
10453,0.23121387283236994
10454,0.24277456647398843
10455,0.10982658959537572
10456,0.34104046242774566
10457,0.27167630057803466
10458,0.2138728323699422
10459,0.06358381502890173
10460,0.32947976878612717
10461,0.5953757225433526
10462,0.653179190751445
10463,0.36416184971098264
10464,0.7745664739884393
10465,0.7687861271676301
10466,0.5375722543352601
10467,0.5606936416184971
10468,0.23699421965317918
10469,0.7109826589595376
10470,0.6647398843930635
10471,0.9942196531791907
10472,0.41040462427745666
10473,0.9479768786127167
10474,0.2023121387283237
10475,0.12138728323699421
11001,0.7803468208092486
11004,0.8439306358381503
11040,0.8670520231213873
11101,0.12716763005780346
11102,0.04046242774566474
11103,0.15606936416184972
11104,0.09826589595375723
11105,0.15028901734104047
11106,0.011560693641618497
11201,0.6127167630057804
11203,0.4913294797687861
11204,0.49710982658959535
11205,0.3468208092485549
11206,0.7225433526011561
11207,0.4393063583815029
11208,0.2543352601156069
11209,0.7861271676300579
11210,0.9132947976878613
11211,0.30057803468208094
11212,0.2658959537572254
11213,0.6820809248554913
11214,0.24855491329479767
11215,0.4277456647398844
11216,0.5086705202312138
11217,0.3179190751445087
11218,0.6705202312138728
11219,0.6069364161849711
11220,0.3872832369942196
11221,0.5317919075144508
11222,0.44508670520231214
11223,0.5780346820809249
11224,0.35260115606936415
11225,0.6878612716763006
11226,0.4161849710982659
11228,0.7283236994219653
11229,0.7052023121387283
11230,0.7514450867052023
11231,0.31213872832369943
11232,0.16184971098265896
11233,0.3988439306358382
11234,0.8323699421965318
11235,0.3236994219653179
11236,0.5260115606936416
11237,0.48554913294797686
11238,0.3930635838150289
11239,0.20809248554913296
11249,0.13872832369942195
11354,0.861271676300578
11355,0.42196531791907516
11356,0.6936416184971098
11357,0.9248554913294798
11358,0.9075144508670521
11360,0.9653179190751445
11361,0.884393063583815
11362,0.9884393063583815
11363,1.0
11364,0.9190751445086706
11365,0.8554913294797688
11366,0.9017341040462428
11367,0.8728323699421965
11368,0.1676300578034682
11369,0.3699421965317919
11370,0.45664739884393063
11372,0.2832369942196532
11373,0.5144508670520231
11374,0.8034682080924855
11375,0.9595375722543352
11377,0.3063583815028902
11378,0.3352601156069364
11379,0.6763005780346821
11385,0.47398843930635837
11411,0.7456647398843931
11412,0.791907514450867
11413,0.7167630057803468
11414,0.9710982658959537
11415,0.6473988439306358
11416,0.28901734104046245
11417,0.37572254335260113
11418,0.6184971098265896
11419,0.43352601156069365
11420,0.3815028901734104
11421,0.5722543352601156
11422,0.6242774566473989
11423,0.4682080924855491
11426,0.7630057803468208
11427,0.8901734104046243
11428,0.8208092485549133
11429,0.7572254335260116
11430,0.07514450867052024
11432,0.6416184971098265
11433,0.3583815028901734
11434,0.5838150289017341
11435,0.6011560693641619
11436,0.4624277456647399
11691,0.26011560693641617
11692,0.6358381502890174
11693,0.5433526011560693
11694,0.630057803468208
