,Postcode,Ed_Score
0,10001,0.5281749464531601
1,10002,0.5281749464531601
2,10003,0.4914168136491326
3,10004,0.33946948654296366
4,10005,0.3759772956091616
5,10006,0.4183379059592559
6,10007,0.5154175818385013
7,10009,0.6426074379478075
8,10010,1.0
9,10011,0.5055042411143016
10,10012,0.4642531173795246
11,10013,0.429630280010597
12,10014,0.2420998755452999
13,10016,0.11151628368920465
14,10017,0.18714569758335814
15,10018,0.28268069159115194
16,10019,0.41723690101542327
17,10020,0.6131423614216962
19,10022,0.6517465923272939
20,10023,0.4727424913904378
21,10024,0.49181954762436925
22,10025,0.35226771830816866
23,10026,0.24957616892915407
24,10027,0.4530185180502987
25,10028,0.5281614435433105
26,10029,0.6287933505404704
27,10030,0.4435476678503971
28,10031,0.606381909023729
29,10032,0.4392965234418656
30,10033,0.4760378477480367
31,10034,0.29241749751391277
32,10035,0.17793364663200015
33,10036,0.5424396282876449
34,10037,0.34291419732387124
35,10038,0.20115951158248663
36,10039,0.6804202833036356
37,10040,0.24069425660570645
38,10041,0.2660087971380261
39,10043,0.29229093372276405
40,10044,0.3197292443612835
41,10045,0.3485533797974268
42,10047,0.3790487522096742
43,10048,0.41157813069845633
44,10055,0.4466145038307872
45,10065,0.48479315081550084
46,10069,0.48038442297959877
47,10075,0.47591370410957495
48,10080,0.4713790542548233
49,10081,0.4667784416570745
50,10096,0.4621097368608741
51,10097,0.4573707063441022
52,10103,0.4525590056208219
53,10104,0.447672171763113
54,10105,0.44270761528214964
55,10106,0.4376626113014882
56,10107,0.4325342899472065
57,10110,0.4273196258700011
58,10111,0.422015426803422
59,10112,0.4166183210498437
60,10115,0.4111247437712861
61,10118,0.4055309219454372
62,10119,0.39983285782782324
63,10120,0.394026310738505
64,10121,0.38810677696538676
65,10122,0.38206946754548693
66,10123,0.37590928364947424
67,10128,0.3696207892523739
68,10151,0.38375518379382867
69,10152,0.39798699086602696
70,10153,0.41233713310877307
71,10154,0.42682754996553235
72,10155,0.4414814186935927
73,10158,0.4563234039368485
74,10162,0.471379943093384
75,10165,0.4866795764021657
76,10166,0.5022533329085122
77,10167,0.5181351864356146
78,10168,0.5343625996572462
79,10169,0.5509771797191783
80,10170,0.568025476151565
81,10171,0.5855599618730705
82,10172,0.6036402521380416
83,10173,0.6223346361885352
84,10174,0.6417220250377522
85,10175,0.6618944608068341
86,10176,0.6829603957639001
87,10177,0.7050490449417612
88,10178,0.7283162658482606
89,10196,0.7529526590836001
90,10203,0.7791949815346431
91,10259,0.8073426458942797
92,10260,0.8377822975683451
93,10265,0.8710257369779155
94,10270,0.9077709576005252
95,10271,0.9490055895730225
96,10275,0.9961938981365128
102,10285,0.7687723264722118
103,10286,0.5708870438525315
104,10301,0.44450550005367945
105,10302,0.20135562566926793
106,10303,0.2848085278067103
107,10304,0.3845818220680398
108,10305,0.5161557427627874
109,10306,0.7299637249846072
110,10307,0.7058095579432339
111,10308,0.6834898479423265
112,10309,0.6627350554372238
113,10310,0.6433309051737761
114,10312,0.6251042387508688
115,10314,0.897712865517292
116,10451,0.15624800478929576
117,10452,0.5448784602907811
118,10453,0.9134543446477721
119,10454,0.37586415957162456
120,10455,0.3455282168266807
121,10456,0.33821446289365426
122,10457,0.2494906403485995
123,10458,0.3531314921353423
124,10459,0.0
125,10460,0.15796043613376937
126,10461,0.24504829869945163
127,10462,0.21369251920938484
128,10463,0.3593697653606524
129,10464,0.3290059820306032
130,10465,0.30007345695126947
131,10466,0.27231820181834704
132,10467,0.25781768465886984
133,10468,0.3565176716022798
134,10469,0.42702639146866955
